Entity,Day,COVID-19 doses (daily)
Afghanistan,2021-05-27,2859
Afghanistan,2021-06-03,4015
Afghanistan,2022-01-27,6868
Afghanistan,2022-04-27,383
Afghanistan,2022-09-12,9447
Afghanistan,2022-11-02,36587
Afghanistan,2022-11-16,14800
Afghanistan,2023-04-25,3316
Africa,2020-12-02,0
Africa,2020-12-03,0
Africa,2020-12-04,0
Africa,2020-12-05,0
Africa,2020-12-06,0
Africa,2020-12-07,0
Africa,2020-12-08,0
Africa,2020-12-09,0
Africa,2020-12-10,0
Africa,2020-12-11,0
Africa,2020-12-12,0
Africa,2020-12-13,0
Africa,2020-12-14,0
Africa,2020-12-15,0
Africa,2020-12-16,0
Africa,2020-12-17,0
Africa,2020-12-18,0
Africa,2020-12-19,0
Africa,2020-12-20,0
Africa,2020-12-21,0
Africa,2020-12-22,0
Africa,2020-12-23,0
Africa,2020-12-24,0
Africa,2020-12-25,0
Africa,2020-12-26,0
Africa,2020-12-27,0
Africa,2020-12-28,0
Africa,2020-12-29,0
Africa,2020-12-30,0
Africa,2020-12-31,0
Africa,2021-01-01,0
Africa,2021-01-02,0
Africa,2021-01-03,0
Africa,2021-01-04,0
Africa,2021-01-05,0
Africa,2021-01-06,0
Africa,2021-01-07,0
Africa,2021-01-08,0
Africa,2021-01-09,0
Africa,2021-01-10,500
Africa,2021-01-11,500
Africa,2021-01-12,500
Africa,2021-01-13,500
Africa,2021-01-14,1000
Africa,2021-01-15,1000
Africa,2021-01-16,3000
Africa,2021-01-17,1325.3334
Africa,2021-01-18,1325.3334
Africa,2021-01-19,1325.3334
Africa,2021-01-20,2187
Africa,2021-01-21,1863.5
Africa,2021-01-22,1863.5
Africa,2021-01-23,1463
Africa,2021-01-24,768
Africa,2021-01-25,987.1667
Africa,2021-01-26,3071.738
Africa,2021-01-27,3123.738
Africa,2021-01-28,3440.738
Africa,2021-01-29,47330.74
Africa,2021-01-30,46684.74
Africa,2021-01-31,44098.695
Africa,2021-02-01,82179.695
Africa,2021-02-02,65305.375
Africa,2021-02-03,58805.375
Africa,2021-02-04,50984.707
Africa,2021-02-05,64171.707
Africa,2021-02-06,63390.707
Africa,2021-02-07,51316.375
Africa,2021-02-08,51316.375
Africa,2021-02-09,74726.375
Africa,2021-02-10,141538.38
Africa,2021-02-11,119925.375
Africa,2021-02-12,265830.88
Africa,2021-02-13,285481.88
Africa,2021-02-14,167375.88
Africa,2021-02-15,167375.88
Africa,2021-02-16,209955.16
Africa,2021-02-17,190469.16
Africa,2021-02-18,169325.19
Africa,2021-02-19,149640.19
Africa,2021-02-20,136385.33
Africa,2021-02-21,95673.32
Africa,2021-02-22,101546.82
Africa,2021-02-23,137374.83
Africa,2021-02-24,332461.3
Africa,2021-02-25,313843.3
Africa,2021-02-26,277596.3
Africa,2021-02-27,219342.33
Africa,2021-02-28,142717.33
Africa,2021-03-01,148404.33
Africa,2021-03-02,224247.34
Africa,2021-03-03,233985.34
Africa,2021-03-04,208947.34
Africa,2021-03-05,227943.53
Africa,2021-03-06,263867.75
Africa,2021-03-07,162401.66
Africa,2021-03-08,144364.5
Africa,2021-03-09,232746.92
Africa,2021-03-10,331748.97
Africa,2021-03-11,274066.75
Africa,2021-03-12,395013.5
Africa,2021-03-13,379899.16
Africa,2021-03-14,224939.77
Africa,2021-03-15,278753.94
Africa,2021-03-16,319415.12
Africa,2021-03-17,276357.12
Africa,2021-03-18,242601.97
Africa,2021-03-19,248449.17
Africa,2021-03-20,196667.17
Africa,2021-03-21,163217.17
Africa,2021-03-22,162934.67
Africa,2021-03-23,216929.4
Africa,2021-03-24,450140.7
Africa,2021-03-25,419073.7
Africa,2021-03-26,365014.03
Africa,2021-03-27,290997.9
Africa,2021-03-28,244175.95
Africa,2021-03-29,256019.78
Africa,2021-03-30,337855.62
Africa,2021-03-31,338073.97
Africa,2021-04-01,356489.53
Africa,2021-04-02,258209.94
Africa,2021-04-03,236712.12
Africa,2021-04-04,211545.86
Africa,2021-04-05,209615.77
Africa,2021-04-06,277641.25
Africa,2021-04-07,288316.78
Africa,2021-04-08,346379.53
Africa,2021-04-09,284251.7
Africa,2021-04-10,280388.75
Africa,2021-04-11,227666.33
Africa,2021-04-12,247341.33
Africa,2021-04-13,253143.36
Africa,2021-04-14,287735.62
Africa,2021-04-15,273199.22
Africa,2021-04-16,294535.53
Africa,2021-04-17,284749.6
Africa,2021-04-18,218146.08
Africa,2021-04-19,223782.69
Africa,2021-04-20,242221.16
Africa,2021-04-21,265582.22
Africa,2021-04-22,230605.72
Africa,2021-04-23,228435.84
Africa,2021-04-24,217051.73
Africa,2021-04-25,207257.33
Africa,2021-04-26,216141.1
Africa,2021-04-27,319880.25
Africa,2021-04-28,422551.25
Africa,2021-04-29,268836.72
Africa,2021-04-30,224178.98
Africa,2021-05-01,206185.44
Africa,2021-05-02,207571.95
Africa,2021-05-03,248962.61
Africa,2021-05-04,415276.84
Africa,2021-05-05,362291.84
Africa,2021-05-06,325177.78
Africa,2021-05-07,650779.8
Africa,2021-05-08,311412.22
Africa,2021-05-09,343943.5
Africa,2021-05-10,345352.6
Africa,2021-05-11,470659.6
Africa,2021-05-12,401216.3
Africa,2021-05-13,284891.7
Africa,2021-05-14,274146.34
Africa,2021-05-15,456097.38
Africa,2021-05-16,408324.44
Africa,2021-05-17,434799.34
Africa,2021-05-18,654067
Africa,2021-05-19,732990.9
Africa,2021-05-20,666409.2
Africa,2021-05-21,653142.5
Africa,2021-05-22,471062.4
Africa,2021-05-23,431778.78
Africa,2021-05-24,482092.78
Africa,2021-05-25,854525.8
Africa,2021-05-26,624137
Africa,2021-05-27,644840.7
Africa,2021-05-28,604702.7
Africa,2021-05-29,523919.66
Africa,2021-05-30,498994.34
Africa,2021-05-31,551753.2
Africa,2021-06-01,617778.25
Africa,2021-06-02,625441.25
Africa,2021-06-03,702204.3
Africa,2021-06-04,441368.88
Africa,2021-06-05,362062.78
Africa,2021-06-06,469932.38
Africa,2021-06-07,541922.4
Africa,2021-06-08,828274.4
Africa,2021-06-09,714788.75
Africa,2021-06-10,641174.1
Africa,2021-06-11,598310.3
Africa,2021-06-12,357926.84
